record_type,schema_version,campaign_id,architecture_id,architecture_condition,scientific_scope,git_commit,seed,workload_id,workload_label,environment_id,environment_phase_offset_fraction,environment_phase_offset_deg,mode,dt_s,simulation_duration_s,measurement_start_s,measurement_end_s_exclusive,requested_workload_trace_sha256,physical_realization_sha256,fdir_controller,fdir_latency_s,valid_run,invalid_reason,warmup_power_deficit_flag,compute_denied_due_instantaneous_power_J,compute_denied_due_battery_reserve_J,compute_denied_due_fdir_J,electrical_unserved_compute_energy_J,essential_reserve_J,protected_battery_SOC_equivalent,time_until_next_generation_s,reserve_active,reserve_limited_compute,reserve_denied_compute_W,reserve_active_time_s,reserve_limited_compute_time_s,requested_mean_compute_power_W,executed_mean_compute_power_W,requested_compute_energy_J,executed_compute_energy_J,compute_energy_denied_J,compute_energy_denied_fraction,peak_requested_compute_power_W,peak_executed_compute_power_W,peak_node_temperature_K,peak_radiator_temperature_K,time_above_project_throttle_threshold_s,thermal_throttle_event_count,time_thermally_throttled_s,hot_phase_requested_energy_fraction,hot_phase_executed_energy_fraction,executed_workload_trace_sha256,thermal_energy_balance_residual_J,initial_battery_SOC,final_battery_SOC,minimum_battery_SOC,maximum_battery_SOC,battery_energy_throughput_J,solar_energy_generated_J,battery_energy_discharged_J,battery_energy_charged_J,electrical_energy_curtailed_J,electrical_unserved_energy_J,electrical_energy_balance_residual_J,maximum_absolute_cumulative_electrical_residual_J,electrical_energy_balance_tolerance_J,delta_peak_temperature_vs_reference_K,controller_status_aggregation,invariants,assumption_dominance_warnings
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.0,0.0,POWER_CONSTRAINED,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,,,True,,False,0.0,0.0,0.0,0.0,4496842.105263158,0.24373588926534892,2136.0,True,False,0.0,16177.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.573832753243,320.96156980894125,0.0,0,0.0,0.6325617283950618,0.6325617283950618,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,1.262035766558256e-06,0.9,0.49923394885205763,0.20119486918200996,0.9,1047103674.3810353,1451993045.840408,544154844.0509715,502948830.3300638,59034772.734218664,0.0,-5.917819362366572e-05,6.044006295269355e-05,0.0019961478898913795,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.0,0.0,CLOSED_LOOP,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,RSIM canonical-derived monotone FDIR,30.0,True,,False,0.0,0.0,0.0,0.0,4496842.105263158,0.24373588926534892,2136.0,True,False,0.0,16177.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.573832753243,320.96156980894125,0.0,0,0.0,0.6325617283950618,0.6325617283950618,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,1.262035766558256e-06,0.9,0.49923394885205763,0.20119486918200996,0.9,1047103674.3810353,1451993045.840408,544154844.0509715,502948830.3300638,59034772.734218664,0.0,-5.917819362366572e-05,6.044006295269355e-05,0.0019961478898913795,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.125,45.0,POWER_CONSTRAINED,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,347f9f035c301f9ce990ce0c9bddc0983ca986f64cebff678ef41ddfcfefb857,,,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16902.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5734396203464,320.9611800845244,0.0,0,0.0,0.610246913580247,0.610246913580247,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-9.067698556464165e-07,0.9,0.26433596948532007,0.2008677132218892,0.9,1071726369.9268911,1413037528.013583,568542076.6612796,503184293.2656115,42999270.16555701,0.0,-5.4982301662676036e-05,5.746407259721309e-05,0.0019815796046748625,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.125,45.0,CLOSED_LOOP,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,347f9f035c301f9ce990ce0c9bddc0983ca986f64cebff678ef41ddfcfefb857,RSIM canonical-derived monotone FDIR,30.0,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16902.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5734396203464,320.9611800845244,0.0,0,0.0,0.610246913580247,0.610246913580247,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-9.067698556464165e-07,0.9,0.26433596948532007,0.2008677132218892,0.9,1071726369.9268911,1413037528.013583,568542076.6612796,503184293.2656115,42999270.16555701,0.0,-5.4982301662676036e-05,5.746407259721309e-05,0.0019815796046748625,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.25,90.0,POWER_CONSTRAINED,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,63d9a2d53fa06dd60f0b7fc1f9c48705a0ffb7d7cc1ffd1256a49f4f5856b62b,,,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,17096.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5731636326766,320.9609066953786,0.0,0,0.0,0.6042592592592593,0.6042592592592593,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-4.81110873806756e-07,0.9,0.3060966090318336,0.2008677132218892,0.9,1089071494.7025433,1402613568.760612,575067763.7321758,514003730.9703675,27385831.83545736,0.0,-5.1515395171009004e-05,5.4396557970903814e-05,0.001977681332492788,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.25,90.0,CLOSED_LOOP,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,63d9a2d53fa06dd60f0b7fc1f9c48705a0ffb7d7cc1ffd1256a49f4f5856b62b,RSIM canonical-derived monotone FDIR,30.0,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,17096.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5731636326766,320.9609066953786,0.0,0,0.0,0.6042592592592593,0.6042592592592593,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-4.81110873806756e-07,0.9,0.3060966090318336,0.2008677132218892,0.9,1089071494.7025433,1402613568.760612,575067763.7321758,514003730.9703675,27385831.83545736,0.0,-5.1515395171009004e-05,5.4396557970903814e-05,0.001977681332492788,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.375,135.0,POWER_CONSTRAINED,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,7e66952234e660cc380de133df21fc0cc6a443a7b18a359ea18a95a7f9ed9a64,,,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16741.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5737413153173,320.96147923357313,0.0,0,0.0,0.6043518518518519,0.6043518518518519,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-1.4722650121257175e-06,0.9,0.4505599879831754,0.2008677132218892,0.9,1080042279.2005317,1421688339.5585744,563126429.1436801,516915850.0568517,32050946.262260504,0.0,-5.1775168685708195e-05,5.548547051148489e-05,0.0019848147687022543,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.375,135.0,CLOSED_LOOP,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,7e66952234e660cc380de133df21fc0cc6a443a7b18a359ea18a95a7f9ed9a64,RSIM canonical-derived monotone FDIR,30.0,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16741.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.5737413153173,320.96147923357313,0.0,0,0.0,0.6043518518518519,0.6043518518518519,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-1.4722650121257175e-06,0.9,0.4505599879831754,0.2008677132218892,0.9,1080042279.2005317,1421688339.5585744,563126429.1436801,516915850.0568517,32050946.262260504,0.0,-5.1775168685708195e-05,5.548547051148489e-05,0.0019848147687022543,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.5,180.0,POWER_CONSTRAINED,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,6688bca17669e95f091dcbbb88d231853e6403dc4011f1a378f36548819afd46,,,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16028.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.57334916650484,320.96109048295784,0.0,0,0.0,0.6162962962962963,0.6162962962962963,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-4.0899931263993494e-07,0.9,0.5948221644568729,0.2008677132218892,0.9,1046907881.8868172,1459999076.4006798,539142847.2800254,507765034.6067919,57209717.64974613,0.0,-5.9162703109905124e-05,6.36972690699622e-05,0.001999141923680705,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
run,rsim-001-epoch1.1,RSIM-001-EPOCH1,A0-R_RESERVE_AWARE_ESSENTIAL_LOAD_ADMISSION,ESSENTIAL_RESERVE_FEASIBLE,"non-authoritative relative E1 epoch sensitivity; unchanged A0-R hardware/controller; not attack, mission, or spacecraft validation",0cb92da3d0eeb516ef1b89180001c8047e23458d,0,constant_reference,W0 — constant reference,E1_REPRESENTATIVE_ANALYTIC_LEO,0.5,180.0,CLOSED_LOOP,1.0,43200.0,10800.0,43200.0,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,6688bca17669e95f091dcbbb88d231853e6403dc4011f1a378f36548819afd46,RSIM canonical-derived monotone FDIR,30.0,True,,False,0.0,0.0,0.0,0.0,4498947.368421053,0.24375636486893754,2137.0,True,False,0.0,16028.0,0.0,29955.684110058894,29955.684110058894,970564165.1659082,970564165.1659082,0.0,0.0,29955.684110058897,29955.684110058897,331.57334916650484,320.96109048295784,0.0,0,0.0,0.6162962962962963,0.6162962962962963,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,-4.0899931263993494e-07,0.9,0.5948221644568729,0.2008677132218892,0.9,1046907881.8868172,1459999076.4006798,539142847.2800254,507765034.6067919,57209717.64974613,0.0,-5.9162703109905124e-05,6.36972690699622e-05,0.001999141923680705,0.0,"{""essential_reserve_J"":""maximum_over_full_trace"",""protected_battery_SOC_equivalent"":""maximum_over_full_trace"",""reserve_active"":""any_over_full_trace"",""reserve_denied_compute_W"":""maximum_over_full_trace"",""reserve_limited_compute"":""any_over_full_trace"",""time_until_next_generation_s"":""maximum_over_full_trace""}","{""battery_never_creates_energy"":true,""compute_denial_attribution_closes"":true,""electrical_balance_closes"":true,""essential_reserve_architecture_feasible"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""reserve_never_increases_power"":true,""soc_within_bounds"":true,""warmup_power_deficit_flag"":false}","[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""epoch offsets are relative workload/environment alignments, not different spacecraft""]"
