architecture_id,battery_energy_charged_J,battery_energy_discharged_J,battery_energy_throughput_J,campaign_id,compute_energy_denied_J,compute_energy_denied_fraction,delta_peak_temperature_vs_reference_K,dt_s,electrical_energy_balance_residual_J,electrical_energy_balance_tolerance_J,electrical_energy_curtailed_J,electrical_unserved_energy_J,environment_id,environment_orbits_elapsed,environment_period_s,executed_compute_energy_J,executed_mean_compute_power_W,executed_workload_trace_sha256,fdir_controller,fdir_latency_s,final_battery_SOC,git_commit,hot_phase_executed_energy_fraction,hot_phase_requested_energy_fraction,initial_battery_SOC,invalid_reason,maximum_absolute_cumulative_electrical_residual_J,maximum_battery_SOC,measurement_end_s_exclusive,measurement_start_s,measurement_window_basis,minimum_battery_SOC,mode,model_version,peak_executed_compute_power_W,peak_node_temperature_K,peak_radiator_temperature_K,peak_requested_compute_power_W,physical_realization_sha256,record_type,requested_compute_energy_J,requested_mean_compute_power_W,requested_workload_trace_sha256,schema_version,scientific_scope,seed,simulation_duration_s,solar_energy_generated_J,thermal_energy_balance_residual_J,thermal_throttle_event_count,time_above_project_throttle_threshold_s,time_thermally_throttled_s,valid_run,workload_id,workload_label,assumption_dominance_warnings,invariants,workload_allowed_inputs
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,,,,RSIM-001-smoke,0.0,0.0,0.0,1.0,,,,,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,,,,2bf50b710c5028c469736791796328ef22636056,0.6200000000000001,0.6200000000000001,,,,,43200.0,10800.0,canonical_wrb_wall_clock,,THERMAL_ONLY,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,324.0455667606524,313.4806658746379,29955.684110058897,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,,-6.73486283631064e-07,0,0.0,0.0,True,constant_reference,W0 — constant reference,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,483169943.7440473,552194221.4218178,1035364165.165865,RSIM-001-smoke,0.0,0.0,0.0,1.0,-6.185134407132864e-05,0.0019913453793165554,74650173.9077116,0.0,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,,,0.2286759698321553,2bf50b710c5028c469736791796328ef22636056,0.6200000000000001,0.6200000000000001,0.9,,6.421970465453342e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.2286759698321553,POWER_CONSTRAINED,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,324.0455667606524,313.4806658746379,29955.684110058897,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1439151157.8947375,-6.73486283631064e-07,0,0.0,0.0,True,constant_reference,W0 — constant reference,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,483169943.7440473,552194221.4218178,1035364165.165865,RSIM-001-smoke,0.0,0.0,0.0,1.0,-6.185134407132864e-05,0.0019913453793165554,74650173.9077116,0.0,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,RSIM canonical-derived monotone FDIR,30.0,0.2286759698321553,2bf50b710c5028c469736791796328ef22636056,0.6200000000000001,0.6200000000000001,0.9,,6.421970465453342e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.2286759698321553,CLOSED_LOOP,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,324.0455667606524,313.4806658746379,29955.684110058897,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1439151157.8947375,-6.73486283631064e-07,0,0.0,0.0,True,constant_reference,W0 — constant reference,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,,,,RSIM-001-smoke,0.0,0.0,0.0,1.0,,,,,E1_REPRESENTATIVE_ANALYTIC_LEO,7.527453229594017,5738.992815014798,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,,,,2bf50b710c5028c469736791796328ef22636056,0.6325617283950618,0.6325617283950618,,,,,43200.0,10800.0,canonical_wrb_wall_clock,,THERMAL_ONLY,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,331.573832753243,320.96156980894125,29955.684110058897,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,,1.262035766558256e-06,0,0.0,0.0,True,constant_reference,W0 — constant reference,"[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model""]","{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,502948830.3300638,544154844.0509715,1047103674.3810353,RSIM-001-smoke,0.0,0.0,0.0,1.0,-5.917819362366572e-05,0.0019961478898913795,59034772.734218664,0.0,E1_REPRESENTATIVE_ANALYTIC_LEO,7.527453229594017,5738.992815014798,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,,,0.49923394885205763,2bf50b710c5028c469736791796328ef22636056,0.6325617283950618,0.6325617283950618,0.9,,6.044006295269355e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.20119486918200996,POWER_CONSTRAINED,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,331.573832753243,320.96156980894125,29955.684110058897,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1451993045.840408,1.262035766558256e-06,0,0.0,0.0,True,constant_reference,W0 — constant reference,"[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model""]","{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,502948830.3300638,544154844.0509715,1047103674.3810353,RSIM-001-smoke,0.0,0.0,0.0,1.0,-5.917819362366572e-05,0.0019961478898913795,59034772.734218664,0.0,E1_REPRESENTATIVE_ANALYTIC_LEO,7.527453229594017,5738.992815014798,970564165.1659082,29955.684110058894,f031c2a14c3c82a4615f6255ecb04c808faaf1d92f5993402bbf727cfbdbd0b8,RSIM canonical-derived monotone FDIR,30.0,0.49923394885205763,2bf50b710c5028c469736791796328ef22636056,0.6325617283950618,0.6325617283950618,0.9,,6.044006295269355e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.20119486918200996,CLOSED_LOOP,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,29955.684110058897,331.573832753243,320.96156980894125,29955.684110058897,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,run,970564165.1659082,29955.684110058894,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1451993045.840408,1.262035766558256e-06,0,0.0,0.0,True,constant_reference,W0 — constant reference,"[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model""]","{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,,,,RSIM-001-smoke,0.0,0.0,1.930265139178573,1.0,,,,,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.6841100589,bf87fc1ff9bf3d5b2ecb6f0147365e0510aafdb4ad7cc46d4189250de5b62404,,,,2bf50b710c5028c469736791796328ef22636056,0.6216305189291582,0.6216305189291582,,,,,43200.0,10800.0,canonical_wrb_wall_clock,,THERMAL_ONLY,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,36493.97815098716,325.97583189983095,315.0595767824931,36493.97815098716,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.6841100589,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,,-1.7095771909225732e-07,0,0.0,0.0,True,diversified_stochastic,W1 — diversified stochastic,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,483512826.54931736,552821387.5875367,1036334214.136854,RSIM-001-smoke,0.0,0.0,1.930265139178573,1.0,-1.4698402083013207e-05,0.001991972545482274,72985775.71099682,0.0,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.6841100589,bf87fc1ff9bf3d5b2ecb6f0147365e0510aafdb4ad7cc46d4189250de5b62404,,,0.22591105496889902,2bf50b710c5028c469736791796328ef22636056,0.6216305189291582,0.6216305189291582,0.9,,1.4932411431800574e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.20707284202456125,POWER_CONSTRAINED,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,36493.97815098716,325.97583189983095,315.0595767824931,36493.97815098716,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.6841100589,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1439151157.8947375,-1.7095771909225732e-07,0,0.0,0.0,True,diversified_stochastic,W1 — diversified stochastic,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,483512826.54931736,552821387.5875367,1036334214.136854,RSIM-001-smoke,0.0,0.0,1.930265139178573,1.0,-1.4698402083013207e-05,0.001991972545482274,72985775.71099682,0.0,E0_CANONICAL,8.0,5400.0,970564165.1659082,29955.6841100589,bf87fc1ff9bf3d5b2ecb6f0147365e0510aafdb4ad7cc46d4189250de5b62404,RSIM canonical-derived monotone FDIR,30.0,0.22591105496889902,2bf50b710c5028c469736791796328ef22636056,0.6216305189291582,0.6216305189291582,0.9,,1.4932411431800574e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.20707284202456125,CLOSED_LOOP,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,36493.97815098716,325.97583189983095,315.0595767824931,36493.97815098716,f1e4e90f3f517362d1f0d86129448dbb51a9890353ed63ed0111bae36bf018af,run,970564165.1659082,29955.6841100589,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1439151157.8947375,-1.7095771909225732e-07,0,0.0,0.0,True,diversified_stochastic,W1 — diversified stochastic,[],"{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":false,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,,,,RSIM-001-smoke,0.0,0.0,1.898725980531708,1.0,,,,,E1_REPRESENTATIVE_ANALYTIC_LEO,7.527453229594017,5738.992815014798,970564165.1659082,29955.6841100589,bf87fc1ff9bf3d5b2ecb6f0147365e0510aafdb4ad7cc46d4189250de5b62404,,,,2bf50b710c5028c469736791796328ef22636056,0.6332582149037339,0.6332582149037339,,,,,43200.0,10800.0,canonical_wrb_wall_clock,,THERMAL_ONLY,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,36493.97815098716,333.4725587337747,322.56544739507524,36493.97815098716,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,run,970564165.1659082,29955.6841100589,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,,3.339506292832084e-06,0,0.0,0.0,True,diversified_stochastic,W1 — diversified stochastic,"[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model""]","{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
A0_CROSS_ENVIRONMENT_NOMINAL_FEASIBLE,500782256.16777265,540394793.6459718,1041177049.8137443,RSIM-001-smoke,2311429.8742995597,0.0023815322646951876,1.8987224214806133,1.0,-1.45886697282549e-05,0.0019923878394863797,59606353.38118696,214000.0,E1_REPRESENTATIVE_ANALYTIC_LEO,7.527453229594017,5738.992815014798,968252735.2916087,29884.34368183978,8b8b29c3fd97456e7305d79c9f1d1674fc2ab491ce399fe93ee0ec3474392192,,,0.5147319580915946,2bf50b710c5028c469736791796328ef22636056,0.6347699399964942,0.6332582149037339,0.9,SYSTEM_POWER_DEFICIT,1.4690347597934306e-05,0.9,43200.0,10800.0,canonical_wrb_wall_clock,0.2,POWER_CONSTRAINED,TSM-01-v0.4.4-canonical-with-RSIM-wrapper-v1,36493.97815098716,333.4725551747236,322.5654443494939,36493.97815098716,b348f00169c885d3849e406bf8ee33c9e3461c493394179d38bcd5672eae6285,run,970564165.1659082,29955.6841100589,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,rsim-001-smoke.1,non-authoritative representative architecture challenge; not attack or spacecraft validation,0,43200.0,1451993045.840408,2.7127357498102356e-06,0,0.0,0.0,False,diversified_stochastic,W1 — diversified stochastic,"[""E1 is a fixed-wall-clock representative environment challenge, not a periodic/steady-state result"",""E1 radiator incidence and Earth-view factors are ASSUMED_EXPLORATORY"",""E1 albedo is a bounded analytic approximation, not a flight environment model"",""battery initialization-domination diagnostic flagged""]","{""battery_never_creates_energy"":true,""electrical_balance_closes"":true,""executed_le_design"":true,""executed_le_requested"":true,""fdir_never_increases_power"":true,""finite_state"":true,""housekeeping_priority"":true,""initialization_domination_flag"":true,""no_hidden_clipping"":true,""soc_within_bounds"":true}","[""time_s"",""rng""]"
