record_type,schema_version,campaign_id,model_version,git_commit,seed,run_seed,workload_id,workload_label,workload_category,dt_s,evaluation_start_s,evaluation_end_s_exclusive,evaluation_sample_count,mean_compute_power_W,cumulative_compute_energy_J,reference_compute_energy_J,relative_energy_error,peak_compute_power_W,power_variance_W2,peak_node_temperature_K,peak_radiator_temperature_K,delta_peak_temperature_vs_reference_K,delta_peak_temperature_vs_diversified_K,time_above_throttle_threshold_s,time_above_model_hazard_threshold_s,peak_node_radiator_gradient_K,hot_phase_energy_fraction,phase_correlation,phase_correlation_status,r_benign,r_benign_status,r_benign_vs_diversified,r_benign_vs_diversified_status,workload_rng_seed,workload_rng_stream,workload_trace_sha256,physical_realization_sha256,physical_randomness_applied,allowed_inputs,diagnostics,valid_run,invalid_reason
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,constant_reference,W0 — constant reference,reference,1.0,10800.0,43200.0,32400,29998.60755168331,971954884.6745393,971954884.6745391,0.0,29998.607551683304,5.293955920339377e-23,324.1336256949431,313.55425178596437,0.0,-1.862255143085065,0.0,0.0,12.424651344570975,0.6199999999999999,,ZERO_VARIANCE,,NOT_APPLICABLE,,NOT_APPLICABLE,319985658871358133207233610578110599143,WRB-001/seed=0/constant_reference/generation,271d8d1434a045ced465f8abf2ff4249a244925f20707429fa133720d2a5327e,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""constant_power_W"":29998.607551683304,""energy_match"":{""applied_adjustment_J"":0.0,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":971954884.6745391,""requested_adjustment_J"":0.0,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":0,""water_fill_bound_hits"":0},""generator"":""per_seed_constant_reference_v1"",""post_match_max_power_W"":29998.607551683304,""post_match_min_power_W"":29998.607551683304,""reference_workload_id"":""diversified_stochastic"",""rng_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,diversified_stochastic,W1 — diversified stochastic,benign,1.0,10800.0,43200.0,32400,29998.607551683304,971954884.6745391,971954884.6745391,0.0,36292.31664780494,8466954.08640711,325.99588083802814,314.81388396162697,1.862255143085065,0.0,0.0,0.0,12.89727602472658,0.6173786199839065,-0.05567751394478234,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,86433910139973708607722766015846871957,WRB-001/seed=0/diversified_stochastic/generation,933bda115749d8c42e78c87e1078ac75bdef3e981acd6ee360bbaa01fcaca2a0,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""bound_enforcement"":""rejection sampling (no clipping)"",""documented_mean_power_W"":30000.0,""energy_match"":{""applied_adjustment_J"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""reference_trace_no_adjustment"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":971954884.6745391,""requested_adjustment_J"":0.0,""silent_clipping_used"":false},""figure_reconstructed_cycle_amplitude_W"":4000.0,""figure_reconstructed_cycle_period_s"":1800.0,""generator"":""reconstructed_diversified_cycle_plus_noise_v1"",""historical_status"":""reconstructed_from_v0.4.4_published_artifacts; release source code absent"",""post_match_max_power_W"":36351.10164641457,""post_match_min_power_W"":23520.570950427806,""reconstruction_sigma_W"":700.0,""rejected_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,bursty_benign,W2 — bursty benign,benign,1.0,10800.0,43200.0,32400,29998.607551683308,971954884.6745392,971954884.6745391,0.0,39747.806036984846,85762112.27115445,333.3299023708467,320.7733138881513,9.196276675903619,7.334021532818554,0.0,0.0,13.850233697648207,0.6085777166680982,-0.0762287235743774,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,10189428430994027999415750586400755364,WRB-001/seed=0/bursty_benign/generation,96946c851472d9b49fee7da618945e839f382cffc0c360fe8d5635515f3d37dd,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""capacity_saturated_samples"":12493,""capacity_saturation_is_scheduler_semantics"":true,""energy_match"":{""applied_adjustment_J"":-8171084.40169096,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":1.1920928955078125e-07,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":980125969.07623,""requested_adjustment_J"":-8171084.40169096,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":1,""water_fill_bound_hits"":0},""generator"":""poisson_shot_noise_bursts_v1"",""jobs_arrived"":1901,""jobs_truncated_at_trace_end"":5,""mean_realised_burst_duration_s"":81.17201472908995,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":7747.806036984889,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,queue_driven_benign,W3 — queue-driven benign,benign,1.0,10800.0,43200.0,32400,29998.60755168331,971954884.6745393,971954884.6745391,0.0,39060.984702842165,264691379.96339092,334.17349601376196,321.5006306225899,10.039870318818885,8.17761517573382,0.0,0.0,13.950203002391959,0.6342689137094694,0.054204390573874335,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,79403828092323957146376631712618932899,WRB-001/seed=0/queue_driven_benign/generation,9cf72a68840daa7a87e9c41626f5513bbe6af09d75db3e08b46a390a4b316d49,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""energy_match"":{""applied_adjustment_J"":-23789307.554742098,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":995744192.2292812,""requested_adjustment_J"":-23789307.554742098,""samples_at_lower_bound"":7077,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":2,""water_fill_bound_hits"":21},""generator"":""fifo_poisson_queue_work_conserving_v1"",""jobs_arrived"":5247,""jobs_completed"":5246,""max_backlog_J"":4703797.1964829685,""max_job_response_time_s"":119.0,""max_queue_jobs"":16,""mean_backlog_J"":598330.3765202197,""mean_job_response_time_s"":22.28269157453298,""mean_queue_jobs"":2.584537037037037,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":0.0,""queue_policy"":""FIFO; arrivals before dispatch; 40 kW work-conserving capacity"",""raw_dispatch_utilization"":0.7645251871195143,""thermal_or_hot_state_observed"":false,""unfinished_jobs"":1}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,power_aware_benign,W4 — power-aware benign,benign,1.0,10800.0,43200.0,32400,29998.607551683304,971954884.6745391,971954884.6745391,0.0,38999.13518777229,33925353.70987165,334.572043061861,322.1878299695216,10.438417366917918,8.576162223832853,0.0,0.0,14.032481077559112,0.6862851384684516,0.7033434204208109,VALID,0.5979881782550414,VALID,0.5499783031627337,VALID,318815965382812086680670580874083116146,WRB-001/seed=0/power_aware_benign/generation,c2076965d17c46caf388ef0a839918c3387d9c7570893a8106116a3d266f3855,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""power_availability"",""rng""]","{""allowed_policy_observation"":""dimensionless electrical power availability [0,1]"",""availability_max"":0.868914759448985,""availability_mean"":0.56,""availability_min"":0.18244667595477795,""bound_enforcement"":""rejection sampling (no clipping)"",""energy_match"":{""applied_adjustment_J"":111421778.00185311,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":860533106.672686,""requested_adjustment_J"":111421778.00185311,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":1,""water_fill_bound_hits"":0},""generator"":""electrical_availability_only_policy_v1"",""jitter_rejected_draw_count"":0,""post_match_max_power_W"":38999.13518777229,""post_match_min_power_W"":15941.927184470082,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,0,0,phase_shaped_candidate,W5 — phase-shaped adversarial candidate,adversarial_candidate,1.0,10800.0,43200.0,32400,29998.6075516833,971954884.674539,971954884.6745391,0.0,40000.0,163203335.68750697,341.58951821338337,327.8703991627901,17.455892518440294,15.593637375355229,0.0,0.0,13.719119050593292,0.8267050381346253,1.0,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,198663090848850528841140654539207222184,WRB-001/seed=0/phase_shaped_candidate/generation,9738195736ebc183dcee263b8e339b3091f1f8d1fcabc9c1c7924d4f35f63581,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""hot_mask"",""rng""]","{""classification"":""adversarial candidate; not a validated attack"",""cold_power_W"":13680.546188640274,""degeneracy"":null,""energy_match"":{""applied_adjustment_J"":0.0,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":971954884.6745391,""requested_adjustment_J"":0.0,""samples_at_lower_bound"":0,""samples_at_upper_bound"":20088,""silent_clipping_used"":false,""uniform_water_fill_iterations"":0,""water_fill_bound_hits"":0},""generator"":""reconstructed_hot_indicator_two_level_v1"",""historical_status"":""reconstructed_from_v0.4.4_published_artifacts; release source code absent"",""hot_power_W"":40000.0,""measurement_hot_fraction"":0.62,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":13680.546188640274,""rng_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,1,1,constant_reference,W0 — constant reference,reference,1.0,10800.0,43200.0,32400,29995.223145709082,971845229.9209743,971845229.9209741,0.0,29995.22314570908,1.3234889800848443e-23,324.1266844675778,313.54845170744653,0.0,-1.884573676993,0.0,0.0,12.423527398972112,0.6199999999999999,,ZERO_VARIANCE,,NOT_APPLICABLE,,NOT_APPLICABLE,182985606397381447922117258338946454484,WRB-001/seed=1/constant_reference/generation,86aabd2bf74cdc7f1421dca1fe3d08772b0f8e582bef327cee6a4d460be86b76,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""constant_power_W"":29995.22314570908,""energy_match"":{""applied_adjustment_J"":0.0,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":971845229.9209741,""requested_adjustment_J"":0.0,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":0,""water_fill_bound_hits"":0},""generator"":""per_seed_constant_reference_v1"",""post_match_max_power_W"":29995.22314570908,""post_match_min_power_W"":29995.22314570908,""reference_workload_id"":""diversified_stochastic"",""rng_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,1,1,diversified_stochastic,W1 — diversified stochastic,benign,1.0,10800.0,43200.0,32400,29995.22314570908,971845229.9209741,971845229.9209741,0.0,36760.639189957845,8545051.559643174,326.0112581445708,314.84372141311604,1.884573676993,0.0,0.0,0.0,12.894097879326182,0.6174628280266776,-0.05363607824877527,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,220923824668015384909428985134755712562,WRB-001/seed=1/diversified_stochastic/generation,bf24b98a033036aaaa4c79eacb1c4330ed882a798e541c3b44e44fab7c2e2323,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""bound_enforcement"":""rejection sampling (no clipping)"",""documented_mean_power_W"":30000.0,""energy_match"":{""applied_adjustment_J"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""reference_trace_no_adjustment"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":971845229.9209741,""requested_adjustment_J"":0.0,""silent_clipping_used"":false},""figure_reconstructed_cycle_amplitude_W"":4000.0,""figure_reconstructed_cycle_period_s"":1800.0,""generator"":""reconstructed_diversified_cycle_plus_noise_v1"",""historical_status"":""reconstructed_from_v0.4.4_published_artifacts; release source code absent"",""post_match_max_power_W"":36760.639189957845,""post_match_min_power_W"":23473.72264195633,""reconstruction_sigma_W"":700.0,""rejected_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,1,1,bursty_benign,W2 — bursty benign,benign,1.0,10800.0,43200.0,32400,29995.22314570908,971845229.9209741,971845229.9209741,0.0,39019.694211430215,86768711.35417843,330.3838462879936,318.4904564275491,6.257161820415831,4.372588143422831,0.0,0.0,13.905392478458339,0.6320474632230418,0.07992423526707934,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,173746897718004902791937644578816802351,WRB-001/seed=1/bursty_benign/generation,7f3ecd19ed17a0ae9023eaaa71d4cbf75759657b6b9b4c481a5de0bc8a06167c,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""capacity_saturated_samples"":13892,""capacity_saturation_is_scheduler_semantics"":true,""energy_match"":{""applied_adjustment_J"":-31761907.54966104,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":1003607137.4706352,""requested_adjustment_J"":-31761907.54966104,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":1,""water_fill_bound_hits"":0},""generator"":""poisson_shot_noise_bursts_v1"",""jobs_arrived"":1916,""jobs_truncated_at_trace_end"":0,""mean_realised_burst_duration_s"":83.06263048016702,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":7019.694211430269,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-reconstructed,,1,1,queue_driven_benign,W3 — queue-driven benign,benign,1.0,10800.0,43200.0,32400,29995.22314570909,971845229.9209745,971845229.9209741,0.0,38979.63623476165,261916875.74542534,332.9565070388721,320.45189901790246,8.8298225712943,6.945248894301301,0.0,0.0,13.924686267838183,0.621832097795562,0.00699570303310634,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,283094801840424095107984715440988274830,WRB-001/seed=1/queue_driven_benign/generation,61e3ea42ba9720d32a77e56e03910e365abcc501f3e7a74bcb57e9206820dc1d,133b4d507067f718cdcf3eb84e91a6e2fcfd84b3650f3a1f517dd99fd65fbd30,false,"[""time_s"",""rng""]","{""energy_match"":{""applied_adjustment_J"":-25925455.1281178,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":1.1920928955078125e-07,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":997770685.0490919,""requested_adjustment_J"":-25925455.1281178,""samples_at_lower_bound"":7009,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":2,""water_fill_bound_hits"":29},""generator"":""fifo_poisson_queue_work_conserving_v1"",""jobs_arrived"":5273,""jobs_completed"":5273,""max_backlog_J"":5614420.7123506535,""max_job_response_time_s"":142.0,""max_queue_jobs"":23,""mean_backlog_J"":552732.8466622051,""mean_job_response_time_s"":20.807320311018394,""mean_queue_jobs"":2.417685185185185,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":0.0,""queue_policy"":""FIFO; arrivals before dispatch; 40 kW work-conserving capacity"",""raw_dispatch_utilization"":0.7633505766252325,""thermal_or_hot_state_observed"":false,""unfinished_jobs"":0}",true,
