record_type,schema_version,campaign_id,model_version,git_commit,seed,run_seed,workload_id,workload_label,workload_category,dt_s,evaluation_start_s,evaluation_end_s_exclusive,evaluation_sample_count,mean_compute_power_W,cumulative_compute_energy_J,reference_compute_energy_J,relative_energy_error,peak_compute_power_W,power_variance_W2,peak_node_temperature_K,peak_radiator_temperature_K,delta_peak_temperature_vs_reference_K,delta_peak_temperature_vs_diversified_K,time_above_throttle_threshold_s,time_above_model_hazard_threshold_s,peak_node_radiator_gradient_K,hot_phase_energy_fraction,phase_correlation,phase_correlation_status,r_benign,r_benign_status,r_benign_vs_diversified,r_benign_vs_diversified_status,workload_rng_seed,workload_rng_stream,workload_trace_sha256,physical_realization_sha256,physical_randomness_applied,allowed_inputs,diagnostics,valid_run,invalid_reason
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,constant_reference,W0 — constant reference,reference,1.0,10800.0,43200.0,32400,29955.684110058894,970564165.1659081,970564165.1659082,0.0,29955.684110058897,1.3234889800848443e-23,324.0455667606524,313.4806658746379,0.0,-1.930265139178573,0.0,0.0,12.410396550625762,0.6200000000000001,,ZERO_VARIANCE,,NOT_APPLICABLE,,NOT_APPLICABLE,319985658871358133207233610578110599143,WRB-001/seed=0/constant_reference/generation,c764803869c24ee6d44da3021b834589271b02a50e268b7b2c12cbcd3fa542c8,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""constant_power_W"":29955.684110058897,""energy_match"":{""applied_adjustment_J"":0.0,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":970564165.1659082,""requested_adjustment_J"":0.0,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":0,""water_fill_bound_hits"":0},""generator"":""per_seed_constant_reference_v1"",""post_match_max_power_W"":29955.684110058897,""post_match_min_power_W"":29955.684110058897,""reference_workload_id"":""diversified_stochastic"",""rng_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,diversified_stochastic,W1 — diversified stochastic,benign,1.0,10800.0,43200.0,32400,29955.6841100589,970564165.1659083,970564165.1659082,0.0,36493.97815098716,7253200.805440568,325.97583189983095,315.0595767824931,1.930265139178573,0.0,0.0,0.0,12.898794016368072,0.621630518929158,0.03736393377123105,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,86433910139973708607722766015846871957,WRB-001/seed=0/diversified_stochastic/generation,e960ef341cebc0583b018b6773b5744590feb490ab349beb3689815b57da93ab,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""canonical_bound_enforcement"":""numpy.clip in frozen historical generator"",""canonical_source_sha256"":""aec89d61be31c21a269dafcdb318dba4c72cf10037760dff489530f3f3591309"",""energy_match"":{""applied_adjustment_J"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""reference_trace_no_adjustment"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":970564165.1659082,""requested_adjustment_J"":0.0,""silent_clipping_used"":false},""generator"":""canonical_v0.4.4.load_nominal"",""hidden_or_global_rng_used"":false,""historical_status"":""canonical_manifested_source"",""post_match_max_power_W"":36493.97815098716,""post_match_min_power_W"":23215.097060841013,""rng_injection"":""explicit numpy.random.Generator passed to canonical function""}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,bursty_benign,W2 — bursty benign,benign,1.0,10800.0,43200.0,32400,29955.684110058894,970564165.1659081,970564165.1659082,0.0,40000.0,89581928.41682138,334.2219183594354,321.660840848414,10.176351598783015,8.246086459604442,0.0,0.0,14.336407287397208,0.6297295810995158,0.0634418060579347,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,10189428430994027999415750586400755364,WRB-001/seed=0/bursty_benign/generation,833d3fc32958e301ed10b50465f17a7b8e4f353c3557e4628feeeb0af525e024,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""capacity_saturated_samples"":11387,""capacity_saturation_is_scheduler_semantics"":true,""energy_match"":{""applied_adjustment_J"":26800089.38390541,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":943764075.7820028,""requested_adjustment_J"":26800089.38390541,""samples_at_lower_bound"":0,""samples_at_upper_bound"":8925,""silent_clipping_used"":false,""uniform_water_fill_iterations"":2,""water_fill_bound_hits"":547},""generator"":""poisson_shot_noise_bursts_v1"",""jobs_arrived"":1945,""jobs_truncated_at_trace_end"":2,""mean_realised_burst_duration_s"":76.49203084832905,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":8000.0,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,queue_driven_benign,W3 — queue-driven benign,benign,1.0,10800.0,43200.0,32400,29955.6841100589,970564165.1659083,970564165.1659082,0.0,40000.0,279313077.6234008,332.3541780084191,319.9494543614462,8.308611247766748,6.378346108588175,0.0,0.0,13.663427341407782,0.6252193205102762,0.019273470839504436,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,79403828092323957146376631712618932899,WRB-001/seed=0/queue_driven_benign/generation,7c6bd5f209cf047ded42d1805adf17f25b5f06e819d8847d055509b924c50f5a,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""energy_match"":{""applied_adjustment_J"":12615348.0132761,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":957948817.1526321,""requested_adjustment_J"":12615348.0132761,""samples_at_lower_bound"":0,""samples_at_upper_bound"":23458,""silent_clipping_used"":false,""uniform_water_fill_iterations"":2,""water_fill_bound_hits"":32},""generator"":""fifo_poisson_queue_work_conserving_v1"",""jobs_arrived"":5163,""jobs_completed"":5160,""max_backlog_J"":3743861.519076306,""max_job_response_time_s"":95.0,""max_queue_jobs"":15,""mean_backlog_J"":524447.6523271512,""mean_job_response_time_s"":20.36531007751938,""mean_queue_jobs"":2.3133796296296296,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":0.0,""queue_policy"":""FIFO; arrivals before dispatch; 40 kW work-conserving capacity"",""raw_dispatch_utilization"":0.7443891531197367,""thermal_or_hot_state_observed"":false,""unfinished_jobs"":3}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,power_aware_benign,W4 — power-aware benign,benign,1.0,10800.0,43200.0,32400,29955.684110058894,970564165.1659081,970564165.1659082,0.0,39109.404771320194,33935515.84147612,334.48491470414075,322.1151388163324,10.439347943488372,8.509082804309799,0.0,0.0,14.025613204441242,0.6864437721686429,0.7039124587421912,VALID,0.6007563825069295,VALID,0.5508658594931658,VALID,318815965382812086680670580874083116146,WRB-001/seed=0/power_aware_benign/generation,53d8751fe6d0825db2a06f0e0470212a3b3a6a30f214f0829ed85f5626c63f44,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""power_availability"",""rng""]","{""allowed_policy_observation"":""dimensionless electrical power availability [0,1]"",""availability_max"":0.868914759448985,""availability_mean"":0.56,""availability_min"":0.18244667595477795,""bound_enforcement"":""rejection sampling (no clipping)"",""energy_match"":{""applied_adjustment_J"":109966132.09744287,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":860598033.0684654,""requested_adjustment_J"":109966132.09744287,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":1,""water_fill_bound_hits"":0},""generator"":""electrical_availability_only_policy_v1"",""jitter_rejected_draw_count"":0,""post_match_max_power_W"":39109.404771320194,""post_match_min_power_W"":15758.639849003923,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,0,0,phase_shaped_candidate,W5 — phase-shaped adversarial candidate,adversarial_candidate,1.0,10800.0,43200.0,32400,29955.6841100589,970564165.1659083,970564165.1659082,0.0,40000.0,161435430.10626277,341.42257389277046,327.7325787963438,17.37700713211808,15.446741992939508,0.0,0.0,13.691404313194028,0.8258455715183841,0.9998473497428774,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,198663090848850528841140654539207222184,WRB-001/seed=0/phase_shaped_candidate/generation,9c8395555b3e6ff8a7aa71eedd6983827f414f99dac6c3e810881627657cfe81,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""hot_mask"",""rng""]","{""canonical_depth"":1.0,""canonical_source_sha256"":""aec89d61be31c21a269dafcdb318dba4c72cf10037760dff489530f3f3591309"",""classification"":""adversarial candidate; not a validated attack"",""energy_match"":{""applied_adjustment_J"":916740.386698842,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":969647424.7792094,""requested_adjustment_J"":916740.386698842,""samples_at_lower_bound"":0,""samples_at_upper_bound"":11193,""silent_clipping_used"":false,""uniform_water_fill_iterations"":3,""water_fill_bound_hits"":1144},""generator"":""canonical_v0.4.4.load_phase_locked"",""hidden_or_global_rng_used"":false,""historical_status"":""canonical_manifested_source"",""measurement_hot_fraction"":0.62,""paired_energy_normalization"":""WRB bounded additive water fill after canonical generation"",""post_match_max_power_W"":40000.0,""post_match_min_power_W"":12656.476849518356,""rng_injection"":""explicit numpy.random.Generator passed to canonical function""}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,1,1,constant_reference,W0 — constant reference,reference,1.0,10800.0,43200.0,32400,29958.29193541512,970648658.7074499,970648658.7074496,0.0,29958.29193541511,1.1911400820763599e-22,324.0509183767164,313.48513816819633,0.0,-1.8455878756305992,0.0,0.0,12.41126261176737,0.6199999999999998,,ZERO_VARIANCE,,NOT_APPLICABLE,,NOT_APPLICABLE,182985606397381447922117258338946454484,WRB-001/seed=1/constant_reference/generation,9bf91bc10730610cf2dc1b29b550a0c4719c896e0f4a5d8c8eadd03aef56dd00,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""constant_power_W"":29958.29193541511,""energy_match"":{""applied_adjustment_J"":0.0,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":970648658.7074496,""requested_adjustment_J"":0.0,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":0,""water_fill_bound_hits"":0},""generator"":""per_seed_constant_reference_v1"",""post_match_max_power_W"":29958.29193541511,""post_match_min_power_W"":29958.29193541511,""reference_workload_id"":""diversified_stochastic"",""rng_draw_count"":0}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,1,1,diversified_stochastic,W1 — diversified stochastic,benign,1.0,10800.0,43200.0,32400,29958.29193541511,970648658.7074496,970648658.7074496,0.0,36533.71185491846,7209450.867454033,325.896506252347,315.00489771117117,1.8455878756305992,0.0,0.0,0.0,12.928893862543077,0.6214336577869378,0.032955189265414714,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,220923824668015384909428985134755712562,WRB-001/seed=1/diversified_stochastic/generation,5ca3e50dde6f4328b6e348072afa0bffdbe44d219f82a45e69300e1327dd193a,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""canonical_bound_enforcement"":""numpy.clip in frozen historical generator"",""canonical_source_sha256"":""aec89d61be31c21a269dafcdb318dba4c72cf10037760dff489530f3f3591309"",""energy_match"":{""applied_adjustment_J"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""reference_trace_no_adjustment"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":970648658.7074496,""requested_adjustment_J"":0.0,""silent_clipping_used"":false},""generator"":""canonical_v0.4.4.load_nominal"",""hidden_or_global_rng_used"":false,""historical_status"":""canonical_manifested_source"",""post_match_max_power_W"":36533.71185491846,""post_match_min_power_W"":22730.37612682218,""rng_injection"":""explicit numpy.random.Generator passed to canonical function""}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,1,1,bursty_benign,W2 — bursty benign,benign,1.0,10800.0,43200.0,32400,29958.29193541511,970648658.7074496,970648658.7074496,0.0,39604.90767038329,83588024.39663903,332.262770986284,319.99327892810004,8.211852609567586,6.366264733936987,0.0,0.0,13.61698237239034,0.6316127940273942,0.07839603502024359,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,173746897718004902791937644578816802351,WRB-001/seed=1/bursty_benign/generation,72755b0c63d2bde2650abbfac1d44b34db33c3571b1f946df11880040f48afc6,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""capacity_saturated_samples"":12436,""capacity_saturation_is_scheduler_semantics"":true,""energy_match"":{""applied_adjustment_J"":-12800991.479581475,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":-1.1920928955078125e-07,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":983449650.187031,""requested_adjustment_J"":-12800991.479581475,""samples_at_lower_bound"":0,""samples_at_upper_bound"":0,""silent_clipping_used"":false,""uniform_water_fill_iterations"":1,""water_fill_bound_hits"":0},""generator"":""poisson_shot_noise_bursts_v1"",""jobs_arrived"":1947,""jobs_truncated_at_trace_end"":3,""mean_realised_burst_duration_s"":81.49409347714432,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":7604.907670383172,""thermal_or_hot_state_observed"":false}",true,
run,wrb-001.1,WRB-001,TSM-01-v0.4.4-canonical,76e71bb5fe9c54e9118de9261ad31e60caf52594,1,1,queue_driven_benign,W3 — queue-driven benign,benign,1.0,10800.0,43200.0,32400,29958.291935415105,970648658.7074494,970648658.7074496,0.0,40000.0,275842428.33265084,337.84664915242627,324.61287200900733,13.795730775709842,11.950142900079243,0.0,0.0,13.803534588942512,0.6205605336875938,0.002083054295977995,VALID,,NOT_APPLICABLE,,NOT_APPLICABLE,283094801840424095107984715440988274830,WRB-001/seed=1/queue_driven_benign/generation,142948d9b2d764fec29d245c29f895d1e812ea471201cafc06e687974b5b2619,f29699897e61cf885ee4b74da6a68b92c31c66366059bcb1c52d86b9968da489,false,"[""time_s"",""rng""]","{""energy_match"":{""applied_adjustment_J"":15913537.364177465,""feasible_max_energy_J"":1296000000.0,""feasible_min_energy_J"":0.0,""final_single_sample_correction_W"":0.0,""measurement_interval_semantics"":""half-open; selected left-endpoint samples only"",""measurement_sample_count"":32400,""method"":""bounded_additive_water_fill_v1"",""outside_measurement_samples_modified"":0,""raw_sampled_energy_J"":954735121.3432721,""requested_adjustment_J"":15913537.364177465,""samples_at_lower_bound"":0,""samples_at_upper_bound"":23397,""silent_clipping_used"":false,""uniform_water_fill_iterations"":2,""water_fill_bound_hits"":50},""generator"":""fifo_poisson_queue_work_conserving_v1"",""jobs_arrived"":5167,""jobs_completed"":5167,""max_backlog_J"":5878512.630403431,""max_job_response_time_s"":148.0,""max_queue_jobs"":20,""mean_backlog_J"":584529.7132975751,""mean_job_response_time_s"":21.81788271724405,""mean_queue_jobs"":2.4899537037037036,""post_match_max_power_W"":40000.0,""post_match_min_power_W"":0.0,""queue_policy"":""FIFO; arrivals before dispatch; 40 kW work-conserving capacity"",""raw_dispatch_utilization"":0.7436959729894437,""thermal_or_hot_state_observed"":false,""unfinished_jobs"":0}",true,
